user_id,hotel_name,rating,price,near_station,restaurant,entertain,shopping_mall,convenience_store,trip_type,companion,star,district,destination
,Aetas Lumpini,4.2,0.074427436,0.215686275,0.392156863,0.039215686,0.117647059,0.235294118,business,couple,5,Sathorn, Bangkok
,Aetas Lumpini,4.2,0.074427436,0.215686275,0.392156863,0.039215686,0.117647059,0.235294118,leisure,couple,5,Sathorn, Bangkok
,Aim House Bangkok,4.2,0.02162098,0.254237288,0.338983051,0.050847458,0.152542373,0.203389831,business,couple,3,Bangkok,0
,Aim House Bangkok,4.2,0.02162098,0.254237288,0.338983051,0.050847458,0.152542373,0.203389831,business,solo,3,Bangkok,0
,Aim House Bangkok,4.2,0.047252878,0.254237288,0.338983051,0.050847458,0.152542373,0.203389831,leisure,friend,3,Bangkok,0
,Aim House Bangkok,4.2,0.047252878,0.254237288,0.338983051,0.050847458,0.152542373,0.203389831,business,friend,3,Bangkok,0
,Aim House Bangkok,4.2,0.02162098,0.254237288,0.338983051,0.050847458,0.152542373,0.203389831,leisure,couple,3,Bangkok,0
,Akyra Thonglor Bangkok,2.6,0.003702385,0.029411765,0.294117647,0.294117647,0.294117647,0.088235294,business,friend,5,Wattana, Bangkok
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.162121752,0.282608696,0.434782609,0.065217391,0.02173913,0.195652174,leisure,family,5,Bangkok,0
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.070748784,0.282608696,0.434782609,0.065217391,0.02173913,0.195652174,leisure,couple,5,Bangkok,0
,Al Meroz Hotel Bangkok - The Leading Halal Hotel,4.2,0.162121752,0.282608696,0.434782609,0.065217391,0.02173913,0.195652174,business,friend,5,Bangkok,0
,Aloft Bangkok - Sukhumvit 11,3.4,0.100723864,0.071428571,0.285714286,0.257142857,0.185714286,0.2,business,family,4,Wattana, Bangkok
,Aloft Bangkok - Sukhumvit 11,3.4,0.100723864,0.071428571,0.285714286,0.257142857,0.185714286,0.2,leisure,family,4,Wattana, Bangkok
,Amanta Hotel & Residence Ratchada,2.6,0.064815474,0.216216216,0.27027027,0.216216216,0.108108108,0.189189189,business,couple,4,Din Daeng, Bangkok
,Amanta Hotel & Residence Ratchada,2.6,0.064815474,0.216216216,0.27027027,0.216216216,0.108108108,0.189189189,leisure,couple,4,Din Daeng, Bangkok
,Amara Bangkok Hotel,4.2,0.075614098,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,business,solo,5,Bang Rak, Bangkok
,Amara Bangkok Hotel,4.2,0.155215379,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,leisure,friend,5,Bang Rak, Bangkok
,Amara Bangkok Hotel,4.2,0.075614098,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,leisure,couple,5,Bang Rak, Bangkok
,Amara Bangkok Hotel,4.2,0.075614098,0.175257732,0.206185567,0.206185567,0.206185567,0.206185567,leisure,solo,5,Bang Rak, Bangkok
,Amaranta Hotel,4.2,0.113468613,0.197368421,0.263157895,0.223684211,0.052631579,0.263157895,business,friend,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.056508841,0.197368421,0.263157895,0.223684211,0.052631579,0.263157895,leisure,solo,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.113468613,0.197368421,0.263157895,0.223684211,0.052631579,0.263157895,leisure,friend,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.056508841,0.197368421,0.263157895,0.223684211,0.052631579,0.263157895,leisure,couple,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.056508841,0.197368421,0.263157895,0.223684211,0.052631579,0.263157895,business,couple,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.060068826,0.197368421,0.263157895,0.223684211,0.052631579,0.263157895,leisure,family,4,Huai Khwang, Bangkok
,Amaranta Hotel,4.2,0.060068826,0.197368421,0.263157895,0.223684211,0.052631579,0.263157895,business,family,4,Huai Khwang, Bangkok
,Amari Don Muang Airport,2.6,0.049056604,0.333333333,0.476190476,0.023809524,0.047619048,0.119047619,leisure,family,4,Donmuang, Bangkok
,Amari Residences Bangkok,2.6,0.183149401,0.130434783,0.434782609,0.217391304,0.043478261,0.173913043,leisure,family,4,Huai Khwang, Bangkok
,Amari Watergate Bangkok,4.2,0.088168981,0.204819277,0.240963855,0.072289157,0.240963855,0.240963855,business,couple,5,Pathumwan, Bangkok
,Amari Watergate Bangkok,4.2,0.088168981,0.204819277,0.240963855,0.072289157,0.240963855,0.240963855,business,family,5,Pathumwan, Bangkok
,Amari Watergate Bangkok,4.2,0.367509197,0.204819277,0.240963855,0.072289157,0.240963855,0.240963855,leisure,friend,5,Pathumwan, Bangkok
,Amari Watergate Bangkok,4.2,0.088168981,0.204819277,0.240963855,0.072289157,0.240963855,0.240963855,leisure,couple,5,Pathumwan, Bangkok
,Amarin Inn,2.6,0.012365017,0.222222222,0.222222222,0.188888889,0.144444444,0.222222222,leisure,family,1,Bangkok,0
,Amarin Inn,2.6,0.012365017,0.222222222,0.222222222,0.188888889,0.144444444,0.222222222,business,family,1,Bangkok,0
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.123578972,0.179487179,0.512820513,0.025641026,0.153846154,0.128205128,leisure,couple,5,Pathumwan, Bangkok
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.123578972,0.179487179,0.512820513,0.025641026,0.153846154,0.128205128,business,couple,5,Pathumwan, Bangkok
,Anantara Baan Rajprasong Bangkok Serviced Suites,4.2,0.251168862,0.179487179,0.512820513,0.025641026,0.153846154,0.128205128,leisure,friend,5,Pathumwan, Bangkok
,Anantara Riverside Bangkok Resort,4.2,0.132170405,0.282051282,0.512820513,0.102564103,0.076923077,0.025641026,business,couple,5,Thonburi, Bangkok
,Anantara Sathorn Bangkok Hotel,3.4,0.060946956,0.333333333,0.37037037,0.092592593,0.018518519,0.185185185,leisure,couple,5,Sathorn, Bangkok
,Anantara Sathorn Bangkok Hotel,3.4,0.135042126,0.333333333,0.37037037,0.092592593,0.018518519,0.185185185,business,family,5,Sathorn, Bangkok
,Anantara Siam Bangkok Hotel,4.2,0.145271152,0.203125,0.3125,0.09375,0.265625,0.125,business,solo,5,Pathumwan, Bangkok
,Anantara Siam Bangkok Hotel,4.2,0.403821051,0.203125,0.3125,0.09375,0.265625,0.125,leisure,friend,5,Pathumwan, Bangkok
,Anantara Siam Bangkok Hotel,4.2,0.145271152,0.203125,0.3125,0.09375,0.265625,0.125,leisure,solo,5,Pathumwan, Bangkok
,Anantara Siam Bangkok Hotel,4.2,0.403821051,0.203125,0.3125,0.09375,0.265625,0.125,business,friend,5,Pathumwan, Bangkok
,Aphrodite Inn Bangkok,2.6,0.107630236,0.179487179,0.256410256,0.115384615,0.256410256,0.192307692,leisure,family,3,Pathumwan, Bangkok
,Aphrodite Inn Bangkok,2.6,0.107630236,0.179487179,0.256410256,0.115384615,0.256410256,0.192307692,business,family,3,Pathumwan, Bangkok
,Ariyasom Villa,4.2,0.152628456,0.295454545,0.454545455,0.113636364,0.045454545,0.090909091,business,couple,4,Wattana, Bangkok
,Ariyasom Villa,4.2,0.152628456,0.295454545,0.454545455,0.113636364,0.045454545,0.090909091,business,solo,4,Wattana, Bangkok
,Ariyasom Villa,4.2,0.152628456,0.295454545,0.454545455,0.113636364,0.045454545,0.090909091,leisure,solo,4,Wattana, Bangkok
,Arte Hotel,4.2,0.067188798,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202,business,family,4,Wattana, Bangkok
,Arte Hotel,4.2,0.162121752,0.191919192,0.202020202,0.202020202,0.202020202,0.202020202,business,friend,4,Wattana, Bangkok
,Ascott Sathorn Bangkok,4.2,0.123246707,0.223684211,0.263157895,0.065789474,0.184210526,0.263157895,business,family,5,Sathorn, Bangkok
,Ascott Sathorn Bangkok,4.2,0.085938056,0.223684211,0.263157895,0.065789474,0.184210526,0.263157895,leisure,couple,5,Sathorn, Bangkok
,Ascott Sathorn Bangkok,4.2,0.085938056,0.223684211,0.263157895,0.065789474,0.184210526,0.263157895,business,solo,5,Sathorn, Bangkok
,Ascott Sathorn Bangkok,4.2,0.085938056,0.223684211,0.263157895,0.065789474,0.184210526,0.263157895,leisure,solo,5,Sathorn, Bangkok
,Aspira D'Andora Sukhumvit 16,4.2,0.031565207,0.094339623,0.377358491,0.113207547,0.075471698,0.339622642,leisure,solo,3,Khlong Toei, Bangkok
,Aspira D'Andora Sukhumvit 16,4.2,0.031565207,0.094339623,0.377358491,0.113207547,0.075471698,0.339622642,business,solo,3,Khlong Toei, Bangkok
,Aspira G Sukhumvit 33,4.2,0.033321467,0.072463768,0.289855072,0.289855072,0.101449275,0.246376812,business,solo,3,Wattana, Bangkok
,Aspira G Sukhumvit 33,4.2,0.070630117,0.072463768,0.289855072,0.289855072,0.101449275,0.246376812,business,family,3,Wattana, Bangkok
,Aspira G Sukhumvit 33,4.2,0.033321467,0.072463768,0.289855072,0.289855072,0.101449275,0.246376812,leisure,solo,3,Wattana, Bangkok
,Aspira G Sukhumvit 33,4.2,0.070630117,0.072463768,0.289855072,0.289855072,0.101449275,0.246376812,leisure,family,3,Wattana, Bangkok
,Aspira G Sukhumvit 33,4.2,0.033321467,0.072463768,0.289855072,0.289855072,0.101449275,0.246376812,business,couple,3,Wattana, Bangkok
,B.S. Court Hotel Sathorn,2.6,0.024468969,0.301886792,0.377358491,0.075471698,0.056603774,0.188679245,business,family,3,Sathorn, Bangkok
,BB Garden Resort,2.6,0.04250623,0,0.5,0.175,0.025,0.3,leisure,friend,3,Din Daeng, Bangkok
,BB Garden Resort,2.6,0.04250623,0,0.5,0.175,0.025,0.3,business,friend,3,Din Daeng, Bangkok
,BB Garden Resort,2.6,0.03158894,0,0.5,0.175,0.025,0.3,business,family,3,Din Daeng, Bangkok
,BEST WESTERN PLUS Wanda Grand Hotel,2.6,0.119591788,0,0.465116279,0.093023256,0.162790698,0.279069767,leisure,family,4,Bangkok,0
,Baan Chantra,2.6,0.050575531,0.289855072,0.289855072,0.188405797,0.043478261,0.188405797,leisure,family,2,Bangkok,0
,Baan Glang Soi,4.2,0.033962264,0.241935484,0.322580645,0.080645161,0.14516129,0.209677419,leisure,family,2,Bang Rak, Bangkok
,Baan Glang Soi,4.2,0.033962264,0.241935484,0.322580645,0.080645161,0.14516129,0.209677419,business,family,2,Bang Rak, Bangkok
,Baan Glang Soi,4.2,0.029215616,0.241935484,0.322580645,0.080645161,0.14516129,0.209677419,business,solo,2,Bang Rak, Bangkok
,Baan Hostel,4.2,0.019484989,0.057142857,0.571428571,0.057142857,0.257142857,0.057142857,business,friend,No preference,Thonburi, Bangkok
,Baan Hostel,4.2,0.019484989,0.057142857,0.571428571,0.057142857,0.257142857,0.057142857,leisure,friend,No preference,Thonburi, Bangkok
,Baan K Managed By Bliston,4.2,0.109695028,0.254545455,0.363636364,0.036363636,0.181818182,0.163636364,business,friend,3,Bang Rak, Bangkok
,Baan K Managed By Bliston,4.2,0.052830189,0.254545455,0.363636364,0.036363636,0.181818182,0.163636364,business,couple,3,Bang Rak, Bangkok
,Baan K Managed By Bliston,4.2,0.109695028,0.254545455,0.363636364,0.036363636,0.181818182,0.163636364,leisure,friend,3,Bang Rak, Bangkok
,Baan K Managed By Bliston,4.2,0.052830189,0.254545455,0.363636364,0.036363636,0.181818182,0.163636364,business,solo,3,Bang Rak, Bangkok
,Baan Manusarn,4.2,0.029215616,0.363636364,0.363636364,0.036363636,0.072727273,0.163636364,leisure,family,2,Dusit, Bangkok
,Baan Nai Trok,2.6,0.002634389,0.298507463,0.298507463,0.164179104,0.119402985,0.119402985,leisure,solo,No preference,Bangkok,0
,Baan Nai Trok,2.6,0.02257031,0.298507463,0.298507463,0.164179104,0.119402985,0.119402985,leisure,friend,No preference,Bangkok,0
,Baan Nampetch Hostel,4.2,0.013314347,0.23255814,0.23255814,0.209302326,0.093023256,0.23255814,business,solo,No preference,Bangkok,0
,Baan Nampetch Hostel,4.2,0.013314347,0.23255814,0.23255814,0.209302326,0.093023256,0.23255814,business,couple,No preference,Bangkok,0
,Baan Nampetch Hostel,4.2,0.013314347,0.23255814,0.23255814,0.209302326,0.093023256,0.23255814,leisure,solo,No preference,Bangkok,0
,Baan Noppawong,4.2,0.038708912,0.208791209,0.21978022,0.197802198,0.153846154,0.21978022,business,solo,3,Bangkok,0
,Baan Noppawong,4.2,0.055322179,0.208791209,0.21978022,0.197802198,0.153846154,0.21978022,leisure,couple,3,Bangkok,0
,Baan Noppawong,4.2,0.114655275,0.208791209,0.21978022,0.197802198,0.153846154,0.21978022,leisure,friend,3,Bangkok,0
,Baan Noppawong,4.2,0.055322179,0.208791209,0.21978022,0.197802198,0.153846154,0.21978022,leisure,family,3,Bangkok,0
,Baan Pra Nond Bed & Breakfast,4.2,0.094007357,0.225,0.5,0.075,0.075,0.125,leisure,friend,3,Sathorn, Bangkok
,Baan Pra Nond Bed & Breakfast,4.2,0.040844903,0.225,0.5,0.075,0.075,0.125,business,couple,3,Sathorn, Bangkok
,Baan Pra Nond Bed & Breakfast,4.2,0.040844903,0.225,0.5,0.075,0.075,0.125,leisure,couple,3,Sathorn, Bangkok
,Baan Tanwa - MRT Ratchadapisek,4.2,0.054847514,0.234042553,0.425531915,0.042553191,0.170212766,0.127659574,business,friend,No preference,Din Daeng, Bangkok
,Baan Tanwa - MRT Ratchadapisek,4.2,0.054847514,0.234042553,0.425531915,0.042553191,0.170212766,0.127659574,leisure,friend,No preference,Din Daeng, Bangkok
,Baan Tanwa - MRT Ratchadapisek,4.2,0.026367628,0.234042553,0.425531915,0.042553191,0.170212766,0.127659574,business,couple,No preference,Din Daeng, Bangkok
,Baan Tanwa - MRT Ratchadapisek,4.2,0.026367628,0.234042553,0.425531915,0.042553191,0.170212766,0.127659574,leisure,couple,No preference,Din Daeng, Bangkok
,Baan Tipa House Wanglang,2.6,0.04345556,0.307692308,0.384615385,0.019230769,0.115384615,0.173076923,business,family,No preference,Bangkok,0
,Baan Tipa House Wanglang,2.6,0.04345556,0.307692308,0.384615385,0.019230769,0.115384615,0.173076923,leisure,family,No preference,Bangkok,0
,"Baan Wanglang Riverside, Bangkok",2.6,0.076682093,0.307692308,0.384615385,0.019230769,0.115384615,0.173076923,leisure,family,4,Bangkok,0
,Baansilom Soi 3,2.6,0.064578142,0.2,0.2,0.2,0.2,0.2,business,friend,2,Bang Rak, Bangkok
,Baansilom Soi 3,2.6,0.064578142,0.2,0.2,0.2,0.2,0.2,leisure,friend,2,Bang Rak, Bangkok
,Back Home Backpackers,4.2,0.026367628,0.24691358,0.24691358,0.185185185,0.074074074,0.24691358,leisure,friend,1,Bangkok,0
,Ban Kru Ae Homestay,4.2,0.024468969,0,0.4,0,0,0.6,business,couple,No preference,Donmuang, Bangkok
,Ban Kru Ae Homestay,4.2,0.024468969,0,0.4,0,0,0.6,leisure,couple,No preference,Donmuang, Bangkok
,"Bandara Suites Silom, Bangkok",2.6,0.097448677,0.298507463,0.298507463,0.044776119,0.119402985,0.23880597,business,family,4,Bang Rak, Bangkok
,Bangkok Bed and Bike,4.2,0.038708912,0.285714286,0.285714286,0,0.285714286,0.142857143,leisure,friend,No preference,Bangkok,0
,Bangkok Bed and Bike,4.2,0.038708912,0.285714286,0.285714286,0,0.285714286,0.142857143,business,friend,No preference,Bangkok,0
,Bangkok Bed and Bike,4.2,0.00666904,0.285714286,0.285714286,0,0.285714286,0.142857143,business,solo,No preference,Bangkok,0
,Bangkok Bed and Bike,4.2,0.028028955,0.285714286,0.285714286,0,0.285714286,0.142857143,leisure,couple,No preference,Bangkok,0
,Bangkok Bed and Bike,4.2,0.028028955,0.285714286,0.285714286,0,0.285714286,0.142857143,business,couple,No preference,Bangkok,0
,Bangkok Feliz Sukumvit69,2.6,0.061255488,0.243589744,0.256410256,0.128205128,0.115384615,0.256410256,leisure,solo,4,Wattana, Bangkok
,Bangkok Hub,2.6,0.042743562,0.307692308,0.384615385,0.019230769,0.134615385,0.153846154,leisure,friend,2,Sathorn, Bangkok
,Bangkok Living,2.6,0.064815474,0.416666667,0.416666667,0.041666667,0,0.125,leisure,family,3,Phaya Thai, Bangkok
,Bangkok Loft Inn,4.2,0.052948855,0.280701754,0.350877193,0.105263158,0.035087719,0.228070175,leisure,friend,3,Thonburi, Bangkok
,Bangkok Loft Inn,4.2,0.052948855,0.280701754,0.350877193,0.105263158,0.035087719,0.228070175,leisure,family,3,Thonburi, Bangkok
,Bangkok Loft Inn,4.2,0.052948855,0.280701754,0.350877193,0.105263158,0.035087719,0.228070175,business,friend,3,Thonburi, Bangkok
,Bangkok Loft Inn,4.2,0.052948855,0.280701754,0.350877193,0.105263158,0.035087719,0.228070175,business,family,3,Thonburi, Bangkok
,Bangkok Marriott Hotel Sukhumvit,4.2,0.131458407,0.258064516,0.322580645,0.14516129,0.080645161,0.193548387,leisure,solo,5,Wattana, Bangkok
,Bangkok Marriott Hotel Sukhumvit,4.2,0.131458407,0.258064516,0.322580645,0.14516129,0.080645161,0.193548387,business,solo,5,Wattana, Bangkok
,Bangkok Marriott Hotel Sukhumvit,4.2,0.382864602,0.258064516,0.322580645,0.14516129,0.080645161,0.193548387,leisure,friend,5,Wattana, Bangkok
,Bangkok Marriott Hotel Sukhumvit,4.2,0.382864602,0.258064516,0.322580645,0.14516129,0.080645161,0.193548387,business,friend,5,Wattana, Bangkok
,Bangkok Marriott Marquis Queen’s Park,1.8,0.10912543,0.098765432,0.24691358,0.24691358,0.160493827,0.24691358,leisure,family,5,Khlong Toei, Bangkok
,Bangkok Patio,4.2,0.087362051,0.354166667,0.416666667,0.041666667,0.041666667,0.145833333,business,friend,4,Phaya Thai, Bangkok
,Bangkok Patio,4.2,0.087362051,0.354166667,0.416666667,0.041666667,0.041666667,0.145833333,leisure,friend,4,Phaya Thai, Bangkok
,Bangkok Patio,4.2,0.045828883,0.354166667,0.416666667,0.041666667,0.041666667,0.145833333,business,solo,4,Phaya Thai, Bangkok
,Bangkok Patio,4.2,0.045828883,0.354166667,0.416666667,0.041666667,0.041666667,0.145833333,leisure,solo,4,Phaya Thai, Bangkok
,Bangkok Story Hostel,4.2,0.002990388,0.293103448,0.344827586,0.137931034,0.086206897,0.137931034,leisure,solo,2,Bangkok,0
,Bangkok Story Hostel,4.2,0.002990388,0.293103448,0.344827586,0.137931034,0.086206897,0.137931034,business,solo,2,Bangkok,0
,Bangkok W18 Hostel,4.2,0.01260235,0.2,0.2,0.2,0.2,0.2,leisure,couple,No preference,Bang Rak, Bangkok
,Bangkok W18 Hostel,4.2,0.01260235,0.2,0.2,0.2,0.2,0.2,business,couple,No preference,Bang Rak, Bangkok
,Banyan Tree Bangkok,4.2,0.131743206,0.271186441,0.338983051,0.050847458,0.101694915,0.237288136,business,solo,5,Sathorn, Bangkok
,Banyan Tree Bangkok,4.2,0.131743206,0.271186441,0.338983051,0.050847458,0.101694915,0.237288136,leisure,couple,5,Sathorn, Bangkok
,Banyan Tree Bangkok,4.2,0.146837546,0.271186441,0.338983051,0.050847458,0.101694915,0.237288136,leisure,family,5,Sathorn, Bangkok
,Banyan Tree Bangkok,4.2,0.131743206,0.271186441,0.338983051,0.050847458,0.101694915,0.237288136,leisure,solo,5,Sathorn, Bangkok
,Banyan Tree Bangkok,4.2,0.131743206,0.271186441,0.338983051,0.050847458,0.101694915,0.237288136,business,couple,5,Sathorn, Bangkok
,Bed Station Hostel,4.2,0.081428741,0.281690141,0.281690141,0.070422535,0.084507042,0.281690141,business,friend,2,Phaya Thai, Bangkok
,Bed Station Hostel,4.2,0.081428741,0.281690141,0.281690141,0.070422535,0.084507042,0.281690141,leisure,friend,2,Phaya Thai, Bangkok
,Bed Station Hostel,4.2,0.005078913,0.281690141,0.281690141,0.070422535,0.084507042,0.281690141,business,solo,2,Phaya Thai, Bangkok
,Bed Station Hostel,4.2,0.081428741,0.281690141,0.281690141,0.070422535,0.084507042,0.281690141,business,couple,2,Phaya Thai, Bangkok
,Bed Station Hostel,4.2,0.005078913,0.281690141,0.281690141,0.070422535,0.084507042,0.281690141,leisure,solo,2,Phaya Thai, Bangkok
,Bed@Town Hostel,3.4,0.048202207,0.146666667,0.266666667,0.12,0.266666667,0.2,leisure,friend,2,Pathumwan, Bangkok
,Beekataa Hostel Donmueang,4.2,0.052948855,0,0.689655172,0.034482759,0,0.275862069,leisure,friend,No preference,Donmuang, Bangkok
,Beekataa Hostel Donmueang,4.2,0.022095645,0,0.689655172,0.034482759,0,0.275862069,leisure,solo,No preference,Donmuang, Bangkok
,Best Western Premier Sukhumvit,2.6,0.143230094,0.264150943,0.377358491,0.113207547,0.132075472,0.113207547,business,family,4,Wattana, Bangkok
,Beverly 33 by Aspira,4.2,0.06244215,0.106666667,0.266666667,0.266666667,0.106666667,0.253333333,leisure,family,3,Wattana, Bangkok
,Beverly 33 by Aspira,4.2,0.055796843,0.106666667,0.266666667,0.266666667,0.106666667,0.253333333,business,solo,3,Wattana, Bangkok
,Bizotel Bangkok,4.2,0.098042008,0.183908046,0.229885057,0.16091954,0.195402299,0.229885057,leisure,friend,3,Pathumwan, Bangkok
,Bizotel Bangkok,4.2,0.047015545,0.183908046,0.229885057,0.16091954,0.195402299,0.229885057,business,couple,3,Pathumwan, Bangkok
,Bizotel Bangkok,4.2,0.047015545,0.183908046,0.229885057,0.16091954,0.195402299,0.229885057,leisure,couple,3,Pathumwan, Bangkok
,Bizotel Bangkok,4.2,0.098042008,0.183908046,0.229885057,0.16091954,0.195402299,0.229885057,business,friend,3,Pathumwan, Bangkok
,Blackfish Guest House,4.2,0.016162335,0.279069767,0.465116279,0.023255814,0.093023256,0.139534884,leisure,couple,1,Bangkok,0
,Blackfish Guest House,4.2,0.018535659,0.279069767,0.465116279,0.023255814,0.093023256,0.139534884,business,family,1,Bangkok,0
,Blackfish Guest House,4.2,0.018535659,0.279069767,0.465116279,0.023255814,0.093023256,0.139534884,leisure,family,1,Bangkok,0
,Blackfish Guest House,4.2,0.016162335,0.279069767,0.465116279,0.023255814,0.093023256,0.139534884,business,couple,1,Bangkok,0
,Bless Residence Bangkok,2.6,0.123934971,0.097560976,0.243902439,0.243902439,0.170731707,0.243902439,leisure,family,4,Wattana, Bangkok
,Bless Residence Bangkok,2.6,0.123934971,0.097560976,0.243902439,0.243902439,0.170731707,0.243902439,business,family,4,Wattana, Bangkok
,Bliston Suwan Park View,4.2,0.092346031,0.226190476,0.238095238,0.05952381,0.238095238,0.238095238,leisure,couple,4,Pathumwan, Bangkok
